server time,value,UM,board time,latitude,longitude
2022-06-29 16:17:53.970,99,,2022-06-29 16:17:53.907,,
2022-06-29 16:18:55.937,99,,2022-06-29 16:18:55.883,,
2022-06-29 16:19:58.757,100,,2022-06-29 16:19:57.977,,
2022-06-29 16:20:59.827,99,,2022-06-29 16:20:59.770,,
2022-06-29 16:22:01.647,99,,2022-06-29 16:22:01.597,,
2022-06-29 16:23:03.587,95,,2022-06-29 16:23:03.530,,
2022-06-29 16:24:05.443,92,,2022-06-29 16:24:05.377,,
2022-06-29 16:25:07.543,89,,2022-06-29 16:25:07.500,,
2022-06-29 16:26:09.247,87,,2022-06-29 16:26:09.197,,
2022-06-29 16:27:11.443,85,,2022-06-29 16:27:10.987,,
2022-06-29 16:28:13.373,83,,2022-06-29 16:28:12.990,,
2022-06-29 16:29:15.220,82,,2022-06-29 16:29:15.173,,
2022-06-29 16:30:17.690,81,,2022-06-29 16:30:16.957,,
2022-06-29 16:31:18.923,80,,2022-06-29 16:31:18.877,,
2022-06-29 16:32:20.633,78,,2022-06-29 16:32:20.563,,
2022-06-29 16:33:22.520,77,,2022-06-29 16:33:22.480,,
2022-06-29 16:34:24.280,76,,2022-06-29 16:34:24.227,,
2022-06-29 16:35:26.117,75,,2022-06-29 16:35:26.070,,
2022-06-29 16:36:27.893,74,,2022-06-29 16:36:27.847,,
2022-06-29 16:37:29.803,73,,2022-06-29 16:37:29.757,,
2022-06-29 16:38:31.587,72,,2022-06-29 16:38:31.530,,
2022-06-29 16:39:33.337,71,,2022-06-29 16:39:33.287,,
2022-06-29 16:40:35.373,70,,2022-06-29 16:40:35.327,,
2022-06-29 16:41:37.980,70,,2022-06-29 16:41:37.043,,
2022-06-29 16:42:38.963,69,,2022-06-29 16:42:38.913,,
2022-06-29 16:43:41.163,68,,2022-06-29 16:43:41.110,,
2022-06-29 16:44:43.340,67,,2022-06-29 16:44:43.280,,
2022-06-29 16:45:45.113,67,,2022-06-29 16:45:45.057,,
2022-06-29 16:46:47.637,66,,2022-06-29 16:46:47.587,,
2022-06-29 16:47:49.383,65,,2022-06-29 16:47:49.343,,
2022-06-29 16:48:51.177,65,,2022-06-29 16:48:51.130,,
2022-06-29 16:49:52.873,64,,2022-06-29 16:49:52.813,,
2022-06-29 16:50:54.603,63,,2022-06-29 16:50:54.553,,
2022-06-29 16:51:56.397,63,,2022-06-29 16:51:56.340,,
2022-06-29 16:52:59.180,62,,2022-06-29 16:52:59.123,,
2022-06-29 16:54:01.220,61,,2022-06-29 16:54:01.050,,
2022-06-29 16:55:03.847,61,,2022-06-29 16:55:03.040,,
2022-06-29 16:56:04.920,60,,2022-06-29 16:56:04.807,,
2022-06-29 16:57:06.687,60,,2022-06-29 16:57:06.633,,
2022-06-29 16:58:08.387,59,,2022-06-29 16:58:08.337,,
2022-06-29 16:59:10.547,59,,2022-06-29 16:59:10.457,,
2022-06-29 17:00:12.513,58,,2022-06-29 17:00:12.417,,
2022-06-29 17:01:14.573,58,,2022-06-29 17:01:14.523,,
2022-06-29 17:02:16.407,57,,2022-06-29 17:02:16.357,,
2022-06-29 17:03:19.190,57,,2022-06-29 17:03:19.143,,
2022-06-29 17:04:21.567,57,,2022-06-29 17:04:21.520,,
2022-06-29 17:05:24.213,56,,2022-06-29 17:05:24.163,,
2022-06-29 17:06:28.800,56,,2022-06-29 17:06:28.743,,
2022-06-29 17:07:31.280,55,,2022-06-29 17:07:31.227,,
